id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
234;Juçara;Não se aplica;262;3.6;2;57.4;5.92
235;Uaçaí;Não se aplica;262;3.6;2;57.4;5.92
236;Jussara;Não se aplica;262;3.6;2;57.4;5.92
237;Pupunha;Não se aplica;28;2.52;0.62;4.62;2.4
238;Bacaba;Não se aplica;212;3.12;19.8;6.6;0
239;Bacabuçu;Não se aplica;212;3.12;19.8;6.6;0
240;Castanhadaíndia;Não se aplica;656;14.32;66.43;12.27;7.5
241;Pistache;Não se aplica;557;20.61;44.44;27.97;10.3
242;Buriti ;Não se aplica;145;1.8;8.1;10.2;9.6
243;Coco ;Não se aplica;354;3.33;33.49;15.23;9
244;Patauá ;Não se aplica;105;1.9;2;22.8;7.4
245;Alface;Não se aplica;15;1.36;0.15;2.79;1.3
246;Bertalha;Refogado(a);45.3;2.97;2.78;3.75;2.4
247;Chicória;Cru(a);17;1.25;0.2;3.35;3.1
248;Chicória;Cozido(a);58.88;1.9;3.89;5.63;2
249;Chicória;Refogado(a);58.88;1.9;3.89;5.63;2
250;Chicória;Ao vinagrete;58.88;1.9;3.89;5.63;2
251;Escarola;Não se aplica;52.88;1.61;3.75;4.31;3.99
252;Couve;Cru(a);30;2.45;0.42;5.69;3.6
253;Couve;Cozido(a);26;2.11;0.36;4.91;2.8
254;Couve;Frito(a);47.13;2.11;2.75;4.91;2.8
255;Couve;Refogado(a);47.13;2.11;2.75;4.91;2.8
256;Couve;Molho vermelho;25.6;1.95;0.32;5;2.54
257;Couve;Ao alho e óleo;47.13;2.11;2.75;4.91;2.8
258;Couve;Com manteiga/óleo;43.85;2.13;2.38;4.91;2.8
259;Couve;Ao vinagrete;26;2.11;0.36;4.91;2.8
260;Couve;Ensopado;47.13;2.11;2.75;4.91;2.8
261;Couve;Mingau;26;2.11;0.36;4.91;2.8
262;Couve;Não se aplica;26;2.11;0.36;4.91;2.8
263;Couveflor;Cru(a);23;1.84;0.45;4.11;2.3
264;Couveflor;Cozido(a);23;1.84;0.45;4.11;2.3
265;Couveflor;Frito(a);55.38;1.84;4.11;4.11;2.3
266;Couveflor;Empanado(a)/à milanesa;137.44;4.17;9.21;10.31;2.08
267;Couveflor;Refogado(a);55.38;1.84;4.11;4.11;2.3
268;Couveflor;Ao vinagrete;23;1.84;0.45;4.11;2.3
269;Couveflor;Não se aplica;23;1.84;0.45;4.11;2.3
270;Espinafre;Cru(a);23;2.97;0.26;3.75;2.4
271;Espinafre;Cozido(a);23;2.97;0.26;3.75;2.4
272;Espinafre;Refogado(a);45.3;2.97;2.78;3.75;2.4
273;Espinafre;Ao vinagrete;23;2.97;0.26;3.75;2.4
274;Espinafre;Não se aplica;23;2.97;0.26;3.75;2.4
275;Mostarda (verdura);Cru(a);26;2.7;0.2;4.9;3.3
276;Mostarda (verdura);Cozido(a);15;2.26;0.24;2.1;2
277;Mostarda (verdura);Refogado(a);43.68;2.26;3.48;2.1;2
278;Mostarda (verdura);Não se aplica;15;2.26;0.24;2.1;2
279;Repolho;Cru(a);25;1.28;0.1;5.8;2.24
280;Repolho;Cozido(a);23;1.27;0.06;5.51;1.9
281;Repolho;Frito(a);49.77;1.27;3.09;5.51;1.9
282;Repolho;Refogado(a);49.77;1.27;3.09;5.51;1.9
283;Repolho;Molho branco;23;1.27;0.06;5.51;1.9
284;Repolho;Ao alho e óleo;49.77;1.27;3.09;5.51;1.9
285;Repolho;Ao vinagrete;23;1.27;0.06;5.51;1.9
286;Repolho;Ensopado;49.77;1.27;3.09;5.51;1.9
287;Repolho;Sopa;31.44;0.95;0.12;7.01;0.71
288;Repolho;Não se aplica;23;1.27;0.06;5.51;1.9
289;Cebolinha;Não se aplica;25;1.8;0.1;5.65;3.5
290;Agrião;Cru(a);25;2.58;0.66;3.65;1.6
291;Agrião;Cozido(a);11;2.3;0.1;1.29;0.5
292;Agrião;Ao vinagrete;11;2.3;0.1;1.29;0.5
293;Agrião;Ensopado;35.75;2.33;2.9;1.29;0.5
294;Agrião;Não se aplica;25;2.58;0.66;3.65;1.6
295;Taioba;Cru(a);34;2.9;0.9;5.4;4.5
296;Taioba;Cozido(a);26;2.11;0.36;4.91;2.8
297;Taioba;Refogado(a);47.13;2.11;2.75;4.91;2.8
298;Acelga;Cru(a);19;1.8;0.2;3.74;1.6
299;Acelga;Cozido(a);14;1.5;0.17;2.41;1.7
300;Acelga;Refogado(a);47.74;1.5;3.99;2.41;1.7
301;Acelga;Não se aplica;19;1.8;0.2;3.74;1.6
